data	al	cu	ni	zn
2006M11	2702.136	7029.295	31891.591	4378.61
2006M12	2823.671	6680.974	34400.526	4381.45
2007M1	2799.059	5689.341	36821.591	3784.86
2007M2	2839.050	5718.150	41078.250	3321.38
2007M3	2757.080	6465.295	46125.227	3256.18
2007M4	2817.053	7753.342	49956.579	3566.86
2007M5	2804.605	7677.952	51783.333	3847.52
2007M6	2681.310	7514.238	41551.667	3628.65
2007M7	2738.091	7980.932	33400.227	3546.30
2007M8	2512.602	7500.205	27649.636	3244.17
2007M9	2394.963	7671.350	29548.400	2887.60
2007M10	2444.533	8020.587	31156.000	2979.99
2007M11	2507.152	6957.432	30505.636	2554.60
2007M12	2382.833	6630.736	26053.556	2378.60
2008M1	2456.125	7078.909	27774.773	2364.41
2008M2	2784.893	7941.143	28064.952	2458.48
2008M3	3012.053	8434.316	31093.053	2511.18
2008M4	2968.034	8714.182	28776.818	2278.51
2008M5	2908.278	8356.125	25656.500	2178.33
2008M6	2967.869	8292.000	22562.571	1906.17
2008M7	3067.457	8407.022	20106.957	1856.45
2008M8	2762.560	7633.800	19111.800	1734.65
2008M9	2524.148	6975.114	17781.864	1744.52
2008M10	2122.028	4894.891	12144.870	1303.00
2008M11	1857.130	3729.188	10776.500	1169.36
2008M12	1504.417	3105.095	9846.929	1112.90
2009M1	1420.360	3260.357	11562.952	1202.52
2009M2	1338.063	3328.413	10410.750	1118.00
2009M3	1338.080	3770.875	9710.727	1223.22
2009M4	1431.813	4436.925	11331.600	1388.14
2009M5	1466.671	4591.461	12720.079	1492.52
2009M6	1579.627	5015.432	14944.364	1556.77
2009M7	1670.557	5228.413	16017.391	1580.86
2009M8	1927.638	6176.875	19375.925	1818.01
2009M9	1835.598	6195.750	17404.636	1879.15
2009M10	1875.664	6305.989	18489.477	2070.84
2009M11	1956.548	6682.440	16911.333	2196.55
2009M12	2181.257	6976.976	17121.619	2374.04
2010M1	2230.113	7367.375	18405.550	2414.66
2010M2	2053.270	6867.675	19060.550	2158.80
2010M3	2210.530	7466.935	22467.174	2277.26
2010M4	2314.278	7729.838	26028.500	2367.50
2010M5	2044.711	6843.158	21930.000	1969.79
